sf_code,sf_name,tf_code,tf_name,city_id,marketing_area,business_line,rating,comment_count,grading,rate_grade,grade_comment,days_since_last_live
xdrmn9,پیتزا طهران (شعبه دو),569ywk,پیتزا طهران,2,آزادی - جی - نواب‎,Restaurant,7.618696184,16,Not Enough Comments,C,C,6
94j41d,رستوران ارغوان,2lz4y8,ارغوان ,2,ورداورد - شهرک چیتگر ,Restaurant,0,7,Not Enough Comments,No Rating,C,1
949g1q,کباب بناب کاج (باغ فیض),28p31z,کباب بناب کاج (باغ فیض),2,پونک - باغ فیض‎,Restaurant,7.682981672,31,Not Enough Comments,C,B,1
e5q7w5,کلاب رستوران و کافه ایمان,2g94zl,کلاب رستوران و کافه ایمان,2,دریاچه- شهرک گلستان - دهکده المپیک,Restaurant,0,1,Not Enough Comments,No Rating,D,2
l2d6qj,رستوران سفره‌ کریمان,547zwl,سفره کریمان,2,دروازه شمیران-میدان شهدا,Restaurant,0,2,Not Enough Comments,No Rating,D,1
6d78je,چلوکبابی جوان,53393k,چلوکبابی جوان,2,یوسف آباد - امیرآباد - گیشا‎,Restaurant,8.156218939,161,Not Enough Comments,B,A,15
3kejj3,کترینگ زیتون,266y7x,کترینگ زیتون,2,تهرانپارس-حکیمیه,Restaurant,7.162734271,152,Not Enough Comments,C,A,1
dq7dln,بریانکده چینیکا,5ym6k8,بریانکده چینیکا,2,اکباتان-آپادانا,Restaurant,0,20,Not Enough Comments,No Rating,C,1
gnz5rx,رستوران مضراب,2k634y,رستوران مضراب هتل لاله تهران,2,,Restaurant,0,0,Not Enough Comments,No Rating,D,1
dq7kln,بریانی نصفهون,5nknm7,بریانی نصفهون,2,جردن - ونک,Restaurant,9.163092623,15,Not Enough Comments,A,C,1
wdwjmg,کافه رستوران هلال,5mky77,کافه رستوران هلال,2,,Restaurant,9.070385688,13,Not Enough Comments,A,C,6
r5qvoz,کادی فود,5lzxrn, فست فود کادی,2,سعادت آباد - شهرک غرب,Restaurant,0,0,Not Enough Comments,No Rating,D,1
jy21dg,آش و حلیم گلچین,21o731,آش و حلیم گلچین,2,یافت آباد - مهرآباد جنوبی,Restaurant,8.342470829,183,Not Enough Comments,B,A,1
6dr5ww,پیتزا شطرنج,2klmgp,شطرنج ,2,دریاچه- شهرک گلستان - دهکده المپیک,Restaurant,8.73598388,32,Not Enough Comments,B,B,18
27xdy2,فست فود باروت فود,5x7761,باروت,2,نارمک - مجیدیه,Restaurant,8.203372452,20,Not Enough Comments,B,C,1
y1jwry,پیتزا بهروز,2my1z8,پیتزا بهروز ,2,فردوس - کاشانی - شهر زیبا,Restaurant,7.431126201,13,Not Enough Comments,C,C,8
271j1e,نوش جان,5klm69,نوش جان,2,نارمک - مجیدیه,Restaurant,0,2,Not Enough Comments,No Rating,D,2
e591dm,فست فود نرمن,2w13o3,فست فود نرمن,2,سعادت آباد - شهرک غرب,Restaurant,8.642934707,59,Not Enough Comments,B,B,1
xd182w,سوشی تو,27mo7z,سوشی تو,2,نیاوران‎ - آجودانیه,Restaurant,8.2793596,44,Not Enough Comments,B,B,1
klwnmg,کترینگ ساحل,5rwyz8,کترینگ ساحل,2,,Restaurant,8.276880554,193,Not Enough Comments,B,A,1
meln1q,پیتزا باکس سعید,27mnn9,پیتزا باکس,2,یوسف آباد - امیرآباد - گیشا‎,Restaurant,0,4,Not Enough Comments,No Rating,D,1
o9o4kk,طباخی رومانوف,2mmkgx,طباخی رومانوف,2,یوسف آباد - امیرآباد - گیشا‎,Restaurant,8.802215326,178,Not Enough Comments,B,A,1
gnlj52,رستوران میثم کوک فیت,58kl84,میثم کوک فیت,2,دروازه شمیران-میدان شهدا,Restaurant,9.139623191,68,Not Enough Comments,A,B,2
85dje5,کافه رستوران بی تی ام,2zklor,بی تی ام,2,جردن - ونک,Restaurant,10,9,Not Enough Comments,A,C,2
jyy679,فست فود بابا کیلویی,5w77o3,فست فود بابا كيلويی افسريه,2,,Restaurant,7.93322561,81,Not Enough Comments,C,B,1
6dg4xg,رستوران میلاد,533nr4,میلاد ,2,بازار - منیریه - گمرک,Restaurant,7.676980605,152,Not Enough Comments,C,A,1
5o5zyj,فست فود جزیره,5w111x,جزیره ,2,یافت آباد - مهرآباد جنوبی,Restaurant,7.887736768,88,Not Enough Comments,C,B,29
pogr6v,مستر دیزی (یوسف آباد),5w1w1k,مستر دیزی (یوسف آباد),2,یوسف آباد - امیرآباد - گیشا‎,Restaurant,8.226897474,113,Not Enough Comments,B,A,3
12q56w,کافه گتسبی,233gl7,کافه رستوران گتسبی,2,فردوس - کاشانی - شهر زیبا,Restaurant,0,3,Not Enough Comments,No Rating,D,1
09v7oq,رستوران ایتالیایی پستو (پالادیوم),5my6op,رستوران ایتالیایی پستو (پالادیوم),2,ولنجک - زعفرانیه,Restaurant,8.331720556,174,Not Enough Comments,B,A,1
dqvr4n,فست فود آرکاداش,2w17zg,فست فود آرکاداش,2,پیروزی - نیروی هوایی‎,Restaurant,9.120896097,98,Not Enough Comments,A,A,9
kllxwk,کترینگ دل مزه,5x74n3,دل مزه,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,7.722964795,9,Not Enough Comments,C,C,11
p6j4vw,رستوران ارباب,59xyz1,ارباب,2,تهرانپارس-حکیمیه,Restaurant,7.191392301,78,Not Enough Comments,C,B,1
y19xxg,فست فود دیشلمه (مدنی),2lznky,دیشلمه,2,نظام آباد‎‎,Restaurant,7.6,9,Not Enough Comments,C,C,22
